lag,r,var
-12,-0.5118498899414369,CRE_LW
-11,-0.5113017090945573,CRE_LW
-10,-0.5119772418734226,CRE_LW
-9,-0.5122682052899913,CRE_LW
-8,-0.511899965349705,CRE_LW
-7,-0.5115171311580867,CRE_LW
-6,-0.5123055613537585,CRE_LW
-5,-0.5131961825633117,CRE_LW
-4,-0.513261251722692,CRE_LW
-3,-0.5141313390980907,CRE_LW
-2,-0.5164745992518471,CRE_LW
-1,-0.5195971823481218,CRE_LW
0,-0.5233131929541586,CRE_LW
1,-0.5271942250461041,CRE_LW
2,-0.5285828498572592,CRE_LW
3,-0.5313453122373429,CRE_LW
4,-0.5300421993368182,CRE_LW
5,-0.5274115998878133,CRE_LW
6,-0.5254242355476499,CRE_LW
7,-0.5266608269204892,CRE_LW
8,-0.5323001199221761,CRE_LW
9,-0.5384488993596627,CRE_LW
10,-0.5401404088220845,CRE_LW
11,-0.5438799348644342,CRE_LW
12,-0.5455058210772032,CRE_LW
-12,0.49982226299023236,CRE_SW
-11,0.5005993915687926,CRE_SW
-10,0.5005171349197083,CRE_SW
-9,0.4984714978199092,CRE_SW
-8,0.4959341105141585,CRE_SW
-7,0.49424566094221434,CRE_SW
-6,0.4931277145299444,CRE_SW
-5,0.4914353878141013,CRE_SW
-4,0.4884987018606144,CRE_SW
-3,0.48673822132785227,CRE_SW
-2,0.4866688015169027,CRE_SW
-1,0.4875990379474836,CRE_SW
0,0.4889571016349677,CRE_SW
1,0.4848519921757286,CRE_SW
2,0.48137536725023866,CRE_SW
3,0.4778254454976602,CRE_SW
4,0.4741354734008783,CRE_SW
5,0.4693505592432,CRE_SW
6,0.4662455400653856,CRE_SW
7,0.46750821038950857,CRE_SW
8,0.4730352011188689,CRE_SW
9,0.47814240375569506,CRE_SW
10,0.47967582759280614,CRE_SW
11,0.48224669005099813,CRE_SW
12,0.48291253693183184,CRE_SW
-12,0.40939042840633494,DSWRF
-11,0.4136284127558838,DSWRF
-10,0.4169783969894828,DSWRF
-9,0.41837953494833,DSWRF
-8,0.4191965517133177,DSWRF
-7,0.4210733458538527,DSWRF
-6,0.42359892181941944,DSWRF
-5,0.4254351621333617,DSWRF
-4,0.4258708092313055,DSWRF
-3,0.42726651056296006,DSWRF
-2,0.4302371261752808,DSWRF
-1,0.43352224536972545,DSWRF
0,0.43658261816286115,DSWRF
1,0.4331707932853635,DSWRF
2,0.4296525533549261,DSWRF
3,0.4260067166841611,DSWRF
4,0.4221756256520698,DSWRF
5,0.4169421798788961,DSWRF
6,0.41395504804048733,DSWRF
7,0.41624136782335563,DSWRF
8,0.42398845008750313,DSWRF
9,0.4310525119552986,DSWRF
10,0.43444179388761656,DSWRF
11,0.43888598165408366,DSWRF
12,0.4414460700655827,DSWRF
-12,0.45521271442408584,CRE_net
-11,0.4568872169732187,CRE_net
-10,0.45637430327705025,CRE_net
-9,0.45295198253846003,CRE_net
-8,0.44912898124385137,CRE_net
-7,0.4467901988053481,CRE_net
-6,0.44457496932588797,CRE_net
-5,0.44138855572022595,CRE_net
-4,0.4368615895410658,CRE_net
-3,0.43371167791392173,CRE_net
-2,0.43222284726648524,CRE_net
-1,0.4318086851735501,CRE_net
0,0.43167383489525357,CRE_net
1,0.4236658343759764,CRE_net
2,0.41754733728196597,CRE_net
3,0.41070968177115,CRE_net
4,0.40568239286710367,CRE_net
5,0.3997872729625227,CRE_net
6,0.39611519491064484,CRE_net
7,0.39727410042824923,CRE_net
8,0.40232375553006183,CRE_net
9,0.40641868320488894,CRE_net
10,0.40777844917634076,CRE_net
11,0.4094500715708676,CRE_net
12,0.4094598676775136,CRE_net
-12,-0.4287252800245513,PRMSL
-11,-0.4295144225315372,PRMSL
-10,-0.42667498283906274,PRMSL
-9,-0.42291263081310704,PRMSL
-8,-0.4178660676327158,PRMSL
-7,-0.41445372157034993,PRMSL
-6,-0.4124262345492508,PRMSL
-5,-0.40868055786988444,PRMSL
-4,-0.40585122520280176,PRMSL
-3,-0.403745099427665,PRMSL
-2,-0.40102160688867894,PRMSL
-1,-0.39714077698387945,PRMSL
0,-0.3935222625722438,PRMSL
1,-0.39331073067008493,PRMSL
2,-0.3917677063682071,PRMSL
3,-0.3909663644739576,PRMSL
4,-0.39163963766602633,PRMSL
5,-0.39185057124114325,PRMSL
6,-0.3925703967614874,PRMSL
7,-0.3909532713218702,PRMSL
8,-0.39215620739144713,PRMSL
9,-0.39162137769332334,PRMSL
10,-0.3924434756867646,PRMSL
11,-0.39382638671261183,PRMSL
12,-0.3945360817803123,PRMSL
-12,-0.38055806650583146,CDUVB
-11,-0.3793043999675586,CDUVB
-10,-0.37702159242850397,CDUVB
-9,-0.3734825566416689,CDUVB
-8,-0.36828749571170494,CDUVB
-7,-0.3613573371936181,CDUVB
-6,-0.353671823841729,CDUVB
-5,-0.3459195666887843,CDUVB
-4,-0.33859424455952736,CDUVB
-3,-0.3309056165748046,CDUVB
-2,-0.32299557172603505,CDUVB
-1,-0.3155295559471719,CDUVB
0,-0.3090067724878715,CDUVB
1,-0.3001476330888755,CDUVB
2,-0.29199194009570806,CDUVB
3,-0.2867125976804414,CDUVB
4,-0.2846513281089858,CDUVB
5,-0.2813038073242075,CDUVB
6,-0.27631992527612925,CDUVB
7,-0.2688123151390672,CDUVB
8,-0.2620885124986141,CDUVB
9,-0.25456126913577054,CDUVB
10,-0.24628639619027642,CDUVB
11,-0.23601653419736116,CDUVB
12,-0.2262054276253341,CDUVB
